scope,id,count_done,count_failed,count_scored,mean_score
model,anthropic/claude-fable-5,5,0,5,0.617303
model,deepseek/deepseek-v4-pro,5,0,5,0.627381
model,google/gemini-3.5-flash,5,0,5,0.583763
model,inception/mercury-2,5,0,5,0.587363
model,inclusionai/ling-2.6-flash,5,0,5,0.585542
model,kwaipilot/kat-coder-pro-v2,5,0,5,0.648979
model,minimax/minimax-m2,5,0,5,0.630711
model,minimax/minimax-m2.1,5,0,5,0.577918
model,minimax/minimax-m2.5,5,0,5,0.622971
model,minimax/minimax-m2.7,5,0,5,0.591881
model,minimax/minimax-m3,5,0,5,0.560078
model,openai/gpt-5.2-codex,5,0,5,0.540662
model,openai/gpt-5.3-codex,5,0,5,0.677015
model,openai/gpt-5.4-pro,4,1,4,0.734423
model,openai/gpt-5.5,5,0,5,0.653913
model,openai/gpt-5.5-pro,5,0,5,0.666453
model,prime-intellect/intellect-3,4,1,4,0.730043
model,qwen/qwen3.5-122b-a10b,5,0,5,0.557870
model,qwen/qwen3.5-27b,5,0,5,0.584379
model,qwen/qwen3.5-plus-20260420,5,0,5,0.612995
model,qwen/qwen3.6-flash,5,0,5,0.551928
model,qwen/qwen3.6-max-preview,5,0,5,0.665761
model,qwen/qwen3.7-max,5,0,5,0.641896
model,qwen/qwen3.7-plus,5,0,5,0.632543
model,xiaomi/mimo-v2.5-pro,5,0,5,0.587388
family,claude,5,0,5,0.617303
family,deepseek,5,0,5,0.627381
family,google,5,0,5,0.583763
family,inception,5,0,5,0.587363
family,inclusionai,5,0,5,0.585542
family,kwaipilot,5,0,5,0.648979
family,minimax,25,0,25,0.596712
family,openai,24,1,24,0.651163
family,prime-intellect,4,1,4,0.730043
family,qwen,35,0,35,0.606767
family,xiaomi,5,0,5,0.587388
