scope,id,count_done,count_failed,count_scored,mean_score
model,anthropic/claude-fable-5,5,0,5,0.465183
model,deepseek/deepseek-v4-pro,5,0,5,0.467317
model,google/gemini-3.5-flash,5,0,5,0.541253
model,inception/mercury-2,5,0,5,0.581704
model,inclusionai/ling-2.6-flash,5,0,5,0.196750
model,kwaipilot/kat-coder-pro-v2,5,0,5,0.497256
model,minimax/minimax-m2,5,0,5,0.508644
model,minimax/minimax-m2.1,5,0,5,0.472247
model,minimax/minimax-m2.5,5,0,5,0.182236
model,minimax/minimax-m2.7,5,0,5,0.504758
model,minimax/minimax-m3,5,0,5,0.486505
model,openai/gpt-5.2-codex,5,0,5,0.435246
model,openai/gpt-5.3-codex,5,0,5,0.531155
model,openai/gpt-5.4-pro,5,0,5,0.448435
model,openai/gpt-5.5,5,0,5,0.631037
model,openai/gpt-5.5-pro,5,0,5,0.634969
model,prime-intellect/intellect-3,4,1,4,0.548200
model,qwen/qwen3.5-122b-a10b,5,0,5,0.379275
model,qwen/qwen3.5-27b,5,0,5,0.249839
model,qwen/qwen3.5-plus-20260420,5,0,5,0.381452
model,qwen/qwen3.6-flash,5,0,5,0.487681
model,qwen/qwen3.6-max-preview,5,0,5,0.376593
model,qwen/qwen3.7-max,5,0,5,0.380236
model,qwen/qwen3.7-plus,5,0,5,0.587449
model,xiaomi/mimo-v2.5-pro,5,0,5,0.196541
family,claude,5,0,5,0.465183
family,deepseek,5,0,5,0.467317
family,google,5,0,5,0.541253
family,inception,5,0,5,0.581704
family,inclusionai,5,0,5,0.196750
family,kwaipilot,5,0,5,0.497256
family,minimax,25,0,25,0.430878
family,openai,25,0,25,0.536168
family,prime-intellect,4,1,4,0.548200
family,qwen,35,0,35,0.406075
family,xiaomi,5,0,5,0.196541
