scope,id,count_done,count_failed,count_scored,mean_score
model,anthropic/claude-fable-5,9,1,9,0.736757
model,deepseek/deepseek-v4-pro,10,0,10,0.734678
model,google/gemini-3.5-flash,10,0,10,0.343000
model,inception/mercury-2,7,3,7,0.743194
model,inclusionai/ling-2.6-flash,10,0,10,0.551016
model,kwaipilot/kat-coder-pro-v2,10,0,10,0.665125
model,minimax/minimax-m2,10,0,10,0.721147
model,minimax/minimax-m2.1,10,0,10,0.666315
model,minimax/minimax-m2.5,10,0,10,0.799515
model,minimax/minimax-m2.7,10,0,10,0.784632
model,minimax/minimax-m3,8,2,8,0.577167
model,openai/gpt-5.2-codex,9,1,9,0.633155
model,openai/gpt-5.3-codex,9,1,9,0.741993
model,openai/gpt-5.4-pro,5,5,5,0.675486
model,openai/gpt-5.5,9,1,9,0.734128
model,openai/gpt-5.5-pro,6,4,6,0.509272
model,prime-intellect/intellect-3,7,3,7,0.814143
model,qwen/qwen3.5-122b-a10b,9,1,9,0.827975
model,qwen/qwen3.5-27b,10,0,10,0.918514
model,qwen/qwen3.5-plus-20260420,10,0,10,0.868903
model,qwen/qwen3.6-flash,10,0,10,0.930336
model,qwen/qwen3.6-max-preview,9,1,9,0.938905
model,qwen/qwen3.7-max,9,1,9,0.880164
model,qwen/qwen3.7-plus,9,1,9,0.952471
model,xiaomi/mimo-v2.5-pro,10,0,10,0.540293
family,claude,9,1,9,0.736757
family,deepseek,10,0,10,0.734678
family,google,10,0,10,0.343000
family,inception,7,3,7,0.743194
family,inclusionai,10,0,10,0.551016
family,kwaipilot,10,0,10,0.665125
family,minimax,48,2,48,0.715280
family,openai,38,12,38,0.668856
family,prime-intellect,7,3,7,0.814143
family,qwen,66,4,66,0.902623
family,xiaomi,10,0,10,0.540293
