scope,id,count_done,count_failed,count_scored,mean_score
model,anthropic/claude-fable-5,3,0,3,0.642185
model,deepseek/deepseek-v4-pro,3,0,3,0.770250
model,google/gemini-3.5-flash,3,0,3,0.787236
model,inception/mercury-2,3,0,3,0.454390
model,inclusionai/ling-2.6-flash,3,0,3,0.613027
model,kwaipilot/kat-coder-pro-v2,3,0,3,0.471360
model,minimax/minimax-m2,3,0,3,0.603730
model,minimax/minimax-m2.1,3,0,3,0.390198
model,minimax/minimax-m2.5,3,0,3,0.331572
model,minimax/minimax-m2.7,3,0,3,0.748124
model,minimax/minimax-m3,3,0,3,0.769508
model,openai/gpt-5.2-codex,3,0,3,0.548559
model,openai/gpt-5.3-codex,3,0,3,0.667237
model,openai/gpt-5.4-pro,3,0,3,0.649965
model,openai/gpt-5.5,3,0,3,0.618267
model,openai/gpt-5.5-pro,3,0,3,0.565617
model,prime-intellect/intellect-3,3,0,3,0.598419
model,qwen/qwen3.5-122b-a10b,3,0,3,0.523521
model,qwen/qwen3.5-27b,3,0,3,0.221117
model,qwen/qwen3.5-plus-20260420,3,0,3,0.688629
model,qwen/qwen3.6-flash,3,0,3,0.504322
model,qwen/qwen3.6-max-preview,3,0,3,0.570808
model,qwen/qwen3.7-max,3,0,3,0.668972
model,qwen/qwen3.7-plus,3,0,3,0.638780
model,xiaomi/mimo-v2.5-pro,3,0,3,0.538029
family,claude,3,0,3,0.642185
family,deepseek,3,0,3,0.770250
family,google,3,0,3,0.787236
family,inception,3,0,3,0.454390
family,inclusionai,3,0,3,0.613027
family,kwaipilot,3,0,3,0.471360
family,minimax,15,0,15,0.568626
family,openai,15,0,15,0.609929
family,prime-intellect,3,0,3,0.598419
family,qwen,21,0,21,0.545164
family,xiaomi,3,0,3,0.538029
