model,question_id,pass,score,confidence,failure_reasons,field_scores,raw_snippet
mistralai/mistral-medium-3-5,AGI-092,1,0.778,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":1,""expected_90d_profit_usd"":1,""liquidity_48h_usd"":1,""allocation_usd.Aave_USDC"":1,""allocation_usd.Curve_3pool"":1,""allocation_usd.Ethena_USDe"":1,""allocation_usd.GMX_GLP"":1}","{ ""intent"": ""allocate"", ""order_type"": ""yield_allocation"", ""asset"": ""USD"", ""size"": 100000, ""unit"": ""usd"", ""venue"": ""multi_protocol"", ""venue_name"": ""Aave, Curve, Ethena, GMX"", ""risk_controls"": { ""position_size_limit"": 100000, ""slippage_tolerance"": 0 }, ""chosen_s"
mistralai/mistral-small-2603,AGI-092,1,0.778,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy,"{""intent"":0,""chosen_strategy"":0,""expected_net_apy_pct"":1,""expected_90d_profit_usd"":1,""liquidity_48h_usd"":1,""allocation_usd.Aave_USDC"":1,""allocation_usd.Curve_3pool"":1,""allocation_usd.Ethena_USDe"":1,""allocation_usd.GMX_GLP"":1}","{""intent"": ""allocate"", ""chosen_strategy"": ""balanced_liquid_term_split"", ""allocation_usd"": {""Aave_USDC"": 20000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 20000, ""GMX_GLP"": 30000}, ""expected_net_apy_pct"": 8.74, ""expected_90d_profit_usd"": 2185, ""liquidity_48h_usd"": 50"
mistralai/mistral-medium-3-5,AGI-024,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.Internalizer"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""order_type"": ""multi_venue"", ""asset"": ""ABC"", ""size"": 50000, ""unit"": ""shares"", ""venue"": ""multi"", ""venue_name"": ""composite execution"", ""risk_controls"": { ""slippage_tolerance"": ""0.75%"", ""position_size_limit"": 50000 }, ""chosen_strategy"": ""stealt"
mistralai/mistral-small-2603,AGI-024,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.Internalizer"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{""intent"": ""buy"", ""chosen_strategy"": ""sequential dark pool execution with hidden public iceberg"", ""execution_sequence"": [""Dark_RFQ"", ""Internalizer"", ""RFQ_A"", ""hidden_public""], ""venue_fills"": {""Dark_RFQ"": 15000, ""Internalizer"": 18000, ""RFQ_A"": 10000, ""hidden_pu"
mistralai/mistral-medium-3-5,AGI-026,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.Internalizer"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.CEX_Y"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""order_type"": ""multi_venue"", ""asset"": ""KAP"", ""size"": 120000, ""unit"": ""KAP"", ""venue"": ""multi"", ""venue_name"": ""composite execution"", ""chosen_strategy"": ""stealth_aggregation"", ""execution_sequence"": [""Internalizer"", ""Dark_RFQ"", ""CEX_Y"", ""hidden_"
mistralai/mistral-small-2603,AGI-065,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""venue_allocation_usd.Binance"":1,""venue_allocation_usd.Jupiter_Solana"":1,""venue_allocation_usd.Uniswap_Arbitrum"":1,""venue_allocation_usd.OTC_Circle"":1,""venue_allocation_usd.Coinbase"":1,""largest_visible_clip_usd"":1,""expected_asset_received"":1,""effective_price"":1,""self_check"":0}","{""intent"": ""buy"", ""chosen_strategy"": ""multi-venue fragmentation with private routes"", ""venue_allocation_usd"": {""Binance"": 550000, ""Jupiter_Solana"": 450000, ""Uniswap_Arbitrum"": 350000, ""OTC_Circle"": 350000, ""Coinbase"": 300000}, ""largest_visible_clip_usd"": 55000"
mistralai/mistral-medium-3-5,AGI-086,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.Internalizer"":1,""venue_fills.RFQ_A"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""order_type"": ""multi_venue"", ""asset"": ""ABC"", ""size"": 50000, ""unit"": ""ABC"", ""venue"": ""multi"", ""venue_name"": ""composite execution"", ""risk_controls"": { ""slippage_tolerance"": ""0.75%"", ""position_size_limit"": 50000 }, ""chosen_strategy"": ""stealth e"
mistralai/mistral-medium-3-5,AGI-088,1,0.727,1.000,agi_validation_failed:intent;agi_validation_failed:chosen_strategy;agi_validation_failed:self_check,"{""intent"":0,""chosen_strategy"":0,""execution_sequence"":1,""venue_fills.Internalizer"":1,""venue_fills.Dark_RFQ"":1,""venue_fills.CEX_Y"":1,""venue_fills.hidden_public"":1,""hidden_public_qty"":1,""expected_avg_price"":1,""expected_slippage_pct"":1,""self_check"":0}","{ ""intent"": ""buy"", ""order_type"": ""multi_venue"", ""asset"": ""KAP"", ""size"": 120000, ""unit"": ""KAP"", ""venue"": ""multi"", ""venue_name"": ""Internalizer, Dark_RFQ, CEX_Y, Hidden Public"", ""risk_controls"": { ""slippage_tolerance"": ""0.5%"", ""position_size_limit"": 120000 }, ""ch"
mistralai/mistral-medium-3-5,AGI-015,0,0.667,1.000,agi_validation_failed:intent;agi_validation_failed:expected_eth_received;agi_validation_failed:effective_price,"{""intent"":0,""chosen_strategy"":1,""venue_allocation_usd.Velodrome_Optimism"":1,""venue_allocation_usd.Uniswap_Arbitrum"":1,""venue_allocation_usd.Kraken"":1,""venue_allocation_usd.Curve_ETH"":1,""venue_allocation_usd.Binance"":1,""expected_eth_received"":0,""effective_price"":0}","{ ""intent"": ""swap"", ""order_type"": ""multi_venue"", ""asset"": ""ETH"", ""size"": 2000000, ""unit"": ""usd"", ""venue"": ""multi"", ""venue_name"": ""capacity_capped_best_execution"", ""chosen_strategy"": ""capacity_capped_best_execution"", ""venue_allocation_usd"": { ""Velodrome_Optimis"
mistralai/mistral-small-2603,AGI-015,0,0.667,1.000,agi_validation_failed:intent;agi_validation_failed:expected_eth_received;agi_validation_failed:effective_price,"{""intent"":0,""chosen_strategy"":1,""venue_allocation_usd.Velodrome_Optimism"":1,""venue_allocation_usd.Uniswap_Arbitrum"":1,""venue_allocation_usd.Kraken"":1,""venue_allocation_usd.Curve_ETH"":1,""venue_allocation_usd.Binance"":1,""expected_eth_received"":0,""effective_price"":0}","{""intent"": ""buy"", ""chosen_strategy"": ""capacity_capped_best_execution"", ""venue_allocation_usd"": {""Velodrome_Optimism"": 400000, ""Uniswap_Arbitrum"": 400000, ""Kraken"": 500000, ""Curve_ETH"": 400000, ""Binance"": 300000}, ""expected_eth_received"": ""665.89"", ""effective_p"
