question_id,level,rubric_id,prompt,pass_count,avg_score,passed_models,failed_models
L1-001,L1,market_buy,Buy 0.5 BTC at market price,2,0.869,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L1-002,L1,limit_buy,Buy 10 SOL using a limit order at $95,2,0.931,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L1-003,L1,stop_loss,"Set stop loss on my 2 ETH at $2,800",2,0.804,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L2-002,L2,dex_swap,"Buy 100,000 PEPE with 15% slippage tolerance",2,0.926,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L2-003,L2,dex_swap,Buy 1000 MATIC with minimal gas fees,2,0.845,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L5-004,L5,lending_borrow,Borrow 5000 USDC against my 2 ETH collateral,2,0.877,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L5-005,L5,liquidity_provision,Stake 10 ETH for liquid staking tokens,2,0.980,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L6-002,L6,futures_trade,Set up DCA — buy $500 of BTC weekly for 3 months,2,0.895,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L6-003,L6,futures_trade,"Create ladder buy orders every $1,000 from $40k to $45k for BTC",2,0.784,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L6-004,L6,stop_loss,Set a trailing stop 5% below market on my 0.5 BTC,2,0.791,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L6-005,L6,twap_order,Execute a TWAP order to sell 10 ETH over the next 4 hours,2,0.826,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L7-002,L7,lending_borrow,"Unwind my underwater position: 5 ETH collateral, 7,000 USDC borrowed",2,0.805,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L7-005,L7,mev_protection_cost_benefit,"I want to sell 100 ETH for USDC. I have three execution options: **Option A: Uniswap (No MEV Protection)** - Expected slippage: 0.3% - Gas cost: $50 - MEV risk: 1.2% (average frontrun/sandwich loss) **Option B: CowSwap (MEV Protected)** - Expected slippage: 0.4% - Gas cost: $0 (gasless) - MEV risk: 0% **Option C: 1inch Fusion (Partial MEV Protection)** - Expected slippage: 0.35% - Gas cost: $25 - MEV risk: 0.4% (reduced via private RPC) Current ETH price: $3,000 Calculate: (1) the total cost percentage for each option (slippage + gas + MEV as % of gross value), (2) the expected net proceeds in USDC for each option, (3) which option maximizes net proceeds, and (4) the dollar amount saved by choosing the best option versus the worst option. Schema hint: Return JSON covering intent, order_type, asset, size, eth_price, gross_value, per-option slippage/gas/mev costs, total_cost, total_cost_pct, net_proceeds, best_option, worst_option, savings_vs_worst, venue, venue_name, reasoning.",2,0.953,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L8-003,L8,risk_parity_rebalance,"**Scenario:** You manage a $1M risk-parity portfolio currently allocated as: - BTC: $400,000 (40%) - ETH: $350,000 (35%) - US 10Y Treasury bonds: $250,000 (25%) **Current Market State:** - BTC 30-day realized volatility: 60% annualized - ETH 30-day realized volatility: 80% annualized - 10Y Treasury volatility: 10% annualized - Correlation matrix: - BTC-ETH: 0.85 - BTC-Bonds: 0.05 - ETH-Bonds: 0.03 **Risk Parity Target:** Each asset should contribute equally (33.33%) to total portfolio risk. **Rebalancing Trigger:** Execute rebalancing if any asset's risk contribution deviates by more than ±5 percentage points from target (i.e., outside 28.33%-38.33% range). **Transaction Constraints:** - Minimum trade size: $10,000 - Round all trades to nearest $1,000 - Execution slippage: 0.5% for crypto, 0.1% for bonds **Task:** Determine the current risk contribution of each asset and construct executable rebalancing transactions if the trigger threshold is breached. Your solution must use true risk-parity optimization that accounts for asset correlations. Schema hint: Return JSON including base fields (intent, order_type, asset, size, venue, reasoning) and analysis fields (portfolio_volatility, risk_contributions, rebalancing_required, target_allocations_usd, transactions). Also include top-level numeric mirrors for grading: btc_contribution_pct, eth_contribution_pct, bonds_contribution_pct, target_btc_usd, target_eth_usd, target_bonds_usd, btc_sell_amount, eth_sell_amount, bonds_buy_amount, btc_post_slippage, eth_post_slippage, bonds_post_slippage.",2,0.852,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L8-009,L8,cash_and_carry_arbitrage,"ETH perpetual funding rate: +0.08% per 8 hours ETH spot (Coinbase): $2,450 ETH-PERP (Binance): $2,458 You have $100,000 USDC available. Binance ETH-PERP is USDT-margined and requires 1x initial margin (no leverage). Trading fees: 0.02% maker on both venues Network transfer fee: $2 Should you execute a cash-and-carry arbitrage? If yes, provide your decision, reasoning, and execution approach. Respond in JSON format.",2,1.000,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L8-010,L8,collar_min_cost,"You hold 10 BTC currently worth $45,000 each. Construct a 30-day collar that balances downside protection with upside participation under the following market conditions: Market conditions: - 30-day ATM implied volatility: 65% - Recent 30-day realized volatility: 55% - Put skew is 20-30% more expensive than calls Available 30-day strikes (per BTC premium, positive = credit received, negative = debit paid): - Calls: 5% OTM ($47,250) +$850 | 10% OTM ($49,500) +$420 - Puts: 5% OTM ($42,750) -$920 | 10% OTM ($40,500) -$480 Portfolio context: - Portfolio historically captures ~80% of BTC upside moves - Historical 30-day BTC move distribution: median +8%, 90th percentile +18% - Holding period: full 30 days Objective: choose the collar that minimizes total economic cost (option premium plus opportunity cost from capped upside) while satisfying: - Avoid overpaying for overpriced puts - Maintain meaningful downside protection - Preserve reasonable upside potential Respond with a JSON object detailing the selected collar.",2,0.807,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L9-011,L9,l9-L9-011,"Refuse-to-trade decision for a $1,000,000 USDC cross-chain liquidation backrun. Execute only if a route has net expected USD profit > 0 and all hard constraints pass: max slippage 0.40%, oracle age ≤60 seconds, settlement ≤12 minutes, and required capital ≤$1,000,000. Evaluate all routes and return no_action if none qualify. Route A Uniswap v3 Ethereum→Arbitrum: gross liquidation edge $11,200, gas $1,600, pool fee $3,000, slippage 0.55% of notional, MEV expected loss 40% × $8,000, oracle age 45 seconds, settlement 9 minutes. Route B RFQ solver via bridge: gross edge $18,000, solver fee $2,000, bridge fee $1,500, counterparty default expected loss 5% × $400,000, slippage 0.10%, oracle age 30 seconds, settlement 18 minutes. Route C CEX hedge plus bridge unwind: gross edge $9,500, taker and withdrawal fees $2,200, borrow cost $1,800, exploit-risk expected loss 2% × $300,000, slippage 0.20%, oracle age 75 seconds, settlement 10 minutes. Compute each route net EV after costs and risk, reject hard-constraint violations, and report top-level expected_value = 0 only if abstaining.",2,1.000,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L9-012,L9,l9-L9-012,"Refuse-to-trade decision for deploying 100 stETH for 90 days during a restaking incident. Compare, compute, and select/abstain across three risk-adjusted restaking expected value options. ETH = $3,200, so principal is $320,000. Execute only if an option has net USD expected value > 0 after costs and risk, expected slashing ≤1.5% of principal, withdrawal delay ≤7 days, oracle age ≤20 minutes, and capacity ≥100 stETH. Evaluate all options and return no_action if none qualify. Option R1 EigenLayer AVS: yield 9% APR, operator fee 0.4% APR, expected slashing 2.2% of principal, gas $300, withdrawal delay 5 days, oracle age 10 minutes, capacity 150 stETH. Option R2 Symbiotic AVS: yield 13% APR, operator fee 0.6% APR, expected slashing 3.0% of principal, gas $500, withdrawal delay 10 days, oracle age 8 minutes, capacity 300 stETH. Option R3 bridge-wrapped AVS: yield 6% APR, operator fee 0.2% APR, expected slashing 0.8% of principal, liquidity haircut $2,000, gas $250, withdrawal delay 2 days, oracle age 35 minutes, capacity 120 stETH. For each option, net USD expected value = principal × yield × 90/365 - principal × operator_fee × 90/365 - expected_slashing_dollars - fixed costs/haircuts. Reject any option with negative net EV or a hard constraint violation, and report top-level expected_value = 0 only if abstaining.",2,1.000,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
L9-016,L9,l9-L9-016,"Staking/restaking risk selection, oracle-fresh AVS rotation. Restake 100 stETH across EigenLayer/Symbiotic-style AVSs and pick exactly 3 eligible AVSs by highest risk-adjusted APR. Net score = headline yield - operator fee - slashing multiplier * expected slashing loss, all in APR percentage points. Eligibility constraints: net score >= 5.5%, slashing multiplier <= 3, withdrawal delay <= 7 days, oracle freshness <= 30 minutes, and capacity >= 100 stETH. Data: A1 yield 9%, operator fee 0.5%, slashing 2 x 0.6%, delay 4 days, oracle age 12 minutes, capacity 150 stETH; A2 yield 12%, operator fee 0.7%, slashing 4 x 1.2%, delay 6 days, oracle age 15 minutes, capacity 250 stETH; A3 yield 8.5%, operator fee 0.4%, slashing 1.5 x 0.4%, delay 3 days, oracle age 20 minutes, capacity 120 stETH; A4 yield 7%, operator fee 0.2%, slashing 1 x 0.8%, delay 10 days, oracle age 8 minutes, capacity 200 stETH; A5 yield 10%, operator fee 0.6%, slashing 2.2 x 0.7%, delay 5 days, oracle age 18 minutes, capacity 180 stETH. Return only the unordered set of selected AVS IDs; do not allocate weights, and reject any AVS that fails a hard constraint even if its yield is high.",2,1.000,mistralai/mistral-medium-3-5;mistralai/mistral-small-2603,
