question_id,level,rubric_id,prompt,pass_count,avg_score,passed_models,failed_models
L2-001,L2,dex_swap,Swap 5000 USDC for DAI on Ethereum,1,0.770,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L3-003,L3,cross_chain_bridge,Bridge 2 ETH from Ethereum to Polygon and swap for MATIC,1,0.786,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L4-001,L4,arbitrage,"Rebalance my portfolio to 60% BTC, 30% ETH, 10% USDC. Optimize for matching the 60/30/10 target weights exactly; if current holdings are missing, require follow-up before execution.",1,0.696,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L8-005,L8,risk_adjusted_leverage,"You manage a leveraged ETH yield farming position on Aave with these parameters: Current Position: - Collateral: 10 ETH deposited ($20,000 at $2,000/ETH) - Borrowed: $40,000 USDC, used to purchase 20 additional ETH - Total Exposure: 30 ETH ($60,000) - Effective Leverage: 3× - Liquidation Price: $1,400 (30% drop from current) Yield Structure: - Earning: 8% APY on 30 ETH exposure ($4,800/year) - Paying: 5% APY on $40,000 debt ($2,000/year) - Net Carry: $2,800/year = 4.67% APY on $60k exposure - Weekly Net Carry: $53.85 Market Conditions: - Current ETH Price: $2,000 - 30-day realized volatility: 65% annualized - Expected 7-day volatility (from options): 95% annualized - Weekly volatility: 95% / √52 = 13.17% Liquidation Mechanics: - Aave monitors continuously and liquidates when LTV threshold is breached - Liquidation cost: $1,000 (5% of collateral penalty) - Price model: Geometric Brownian Motion with μ=0 (log drift m = -0.5σ² per period) - EV scope: include carry income minus expected liquidation penalty; exclude mark-to-market P&L (zero drift). Available actions for the next 7 days during a volatility expansion: A) Maintain 3× leverage (liquidation $1,400, weekly carry $53.85) B) Deleverage to 2× leverage (liquidation $1,200, weekly carry $42.31) C) Deleverage to 1.5× leverage (liquidation $1,000, weekly carry $36.54) D) Close position entirely (zero carry, zero risk) Institutional policy: keep weekly liquidation probability ≤0.5%. Assume barrier-hitting probability for liquidation (continuous monitoring). Task: Identify the optimal risk-adjusted action for a 7-day horizon. Provide liquidation probabilities and expected values for each option and explain your reasoning. Optimize for the highest expected value among actions satisfying the weekly liquidation probability limit of 0.5%. Schema hint: Return JSON with keys {action, action_name, liquidation_probabilities, expected_values, reasoning, calculation_method?}. Do not include legacy keys like order_type, asset, venue, risk_controls, follow_up, or requires_follow_up.",1,0.800,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L8-006,L8,fixed_yield_allocation,"You have 100,000 USDC to deploy into USDe yield strategies. **Current market conditions:** Base Rates: - USDe staking APY: 8.5% - Aave USDC supply APY: 4.2% - Aave USDe borrow APY: 6.8% Pendle Market (PT-USDe expiring in 90 days): - Implied APY: 12.3% - Liquidity depth: $45M - Fixed yield lock until maturity Loop Parameters: - Max safe leverage on Aave: 3x (LTV 75%, liquidation threshold 80%) - Gas costs per loop iteration: ~$8 - Pendle PT purchase slippage on 100K: 0.15% **Strategy Options:** A) Simple Stake: Convert to USDe, stake directly (8.5% APY). B) Leveraged Loop: 3x loop USDe on Aave, stake multiplied amount ((3 × 8.5%) − (2 × 6.8%) = 11.9% APY), risk: liquidation if USDe depegs >2%. C) Pendle PT: Convert to USDe, buy PT-USDe at 12.3% fixed for 90 days (capital locked). D) Hybrid: 2x loop on Aave (50K) + Pendle PT (50K) → 11.25% weighted APY, medium diversification. **Constraints:** medium risk tolerance (avoid >3% depeg exposure), 90-day horizon, priority is maximize APY while staying under 3x leverage. Which strategy should you execute? Return JSON following the schema hint.",1,0.650,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L8-008,L8,risk_parity_execution,"You're executing a risk-parity rebalance (buy side only) across BTC, ETH, GLD, and TLT. Calculate the optimal execution strategy. Required trades: - Buy 0.5 BTC ($22,500) - Buy 8 ETH ($22,400) - Buy 1,200 GLD ($222,000) - Buy 2,400 TLT ($228,000) Venue options: - Coinbase: Crypto only (BTC/ETH), 0.6% fee, instant execution - Interactive Brokers: All assets including crypto, 0.1% fee, T+2 settlement - You may use one venue or split across both Constraints: - Must execute all 4 legs within same trading day - Total fees must not exceed $2,000 - Minimize total fees while executing all positions Assumptions: Fees are charged as a percentage of notional with no minimums. Ignore spreads, slippage, and market impact. Output your execution plan with: 1. Venue for each asset 2. Fee calculation per trade 3. Total fees 4. Total execution cost (notional + fees) 5. Reasoning for strategy choice",1,0.371,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L9-001,L9,l9-L9-001,"Design a delta-neutral funding-rate arbitrage between Hyperliquid HYPE-PERP ($28.50, -0.017% per 8 hours) and spot HYPE ($28.20 on Base). You have $500 000 USDC, 5× leverage, hold the position for 1 year, rebalance entry/exit once, < 0.3% slippage, Base gas $0.02 / tx. Funding rate -0.017%/8h is the rate paid by longs to shorts (Hyperliquid convention: F<0 means longs receive). For this scenario, the short-perp leg of this delta-neutral structure earns |F|. Compute expected_value as funding-only APR on unlevered notional: abs(funding_rate_per_8h) × 3 × 365 × 100. Do not multiply by 5× leverage, and exclude unquantified bridge, slippage-cap, liquidation-buffer, and spot/perp basis PnL from expected_value; gas is de minimis at the APR precision used.",1,0.500,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L9-009,L9,l9-L9-009,"Restake 100 stETH across 5 AVSs and pick exactly 3 eligible AVSs by max risk-adjusted return. Net score = headline yield - multiplier × slashing_loss, with all terms in APR percentage points. Eligibility constraints: net score must be at least 6%, slashing multiplier must be ≤3, withdrawal delay must be ≤7 days, and oracle freshness must be ≤30 minutes. Data: A1 yield 8%, slashing 2 × 0.5%, delay 2 days, oracle age 10 minutes; A2 yield 12%, slashing 3 × 1%, delay 7 days, oracle age 25 minutes; A3 yield 6%, slashing 0.5 × 0.2%, delay 1 day, oracle age 5 minutes; A4 yield 15%, slashing 5 × 2%, delay 14 days, oracle age 10 minutes; A5 yield 10%, slashing 2.5 × 0.8%, delay 3 days, oracle age 15 minutes. Return only the unordered set of selected AVS IDs; do not allocate weights across the 100 stETH.",1,0.500,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L9-010,L9,l9-L9-010,"Flash loan 10 M USDC (0.05 % fee) → pump price +4 % → liquidations $850 k profit. Costs = $85 k total (loan + gas + slippage + MEV). 30 % frontrun risk. If frontrun (30 %), attacker also incurs $25 K MEV protection costs (total loss $110 K). Compute expected value.",1,0.500,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L9-020,L9,l9-L9-020,"Refuse-to-trade decision, liquidation backrun during stale oracle window. Evaluate a $1,000,000 USDC opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.40%, oracle age <= 60 seconds, settlement <= 12 minutes, and required capital <= $1,000,000. Option A Uniswap v3 ETH to Arb backrun: gross edge $14,200, fixed costs $4,100, slippage 0.52% of notional, expected risk 25.0% * $28,000, oracle age 45 seconds, settlement 9 minutes, required capital $900,000; Option B RFQ solver bridge: gross edge $26,000, fixed costs $5,200, slippage 0.15% of notional, expected risk 6.0% * $420,000, oracle age 38 seconds, settlement 18 minutes, required capital $950,000; Option C CEX hedge plus bridge unwind: gross edge $11,800, fixed costs $4,600, slippage 0.20% of notional, expected risk 3.0% * $300,000, oracle age 72 seconds, settlement 10 minutes, required capital $980,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
