scope,id,count_done,count_failed,count_scored,mean_score
model,anthropic/claude-fable-5,110,0,110,0.347482
model,deepseek/deepseek-v4-pro,103,7,103,0.392025
model,google/gemini-3.5-flash,110,0,110,0.084513
model,inception/mercury-2,71,39,71,0.403066
model,inclusionai/ling-2.6-flash,110,0,110,0.310354
model,kwaipilot/kat-coder-pro-v2,110,0,110,0.353410
model,minimax/minimax-m2,110,0,110,0.352928
model,minimax/minimax-m2.1,108,2,108,0.319612
model,minimax/minimax-m2.5,109,1,109,0.357908
model,minimax/minimax-m2.7,102,8,102,0.346749
model,minimax/minimax-m3,55,55,55,0.370891
model,openai/gpt-5.2-codex,110,0,110,0.023258
model,openai/gpt-5.3-codex,109,1,109,0.344755
model,openai/gpt-5.4-pro,15,95,15,0.413704
model,openai/gpt-5.5,104,6,104,0.376028
model,openai/gpt-5.5-pro,22,88,22,0.240206
model,prime-intellect/intellect-3,77,33,77,0.416673
model,qwen/qwen3.5-122b-a10b,105,5,105,0.417432
model,qwen/qwen3.5-27b,110,0,110,0.417074
model,qwen/qwen3.5-plus-20260420,110,0,110,0.489573
model,qwen/qwen3.6-flash,110,0,110,0.457021
model,qwen/qwen3.6-max-preview,110,0,110,0.495952
model,qwen/qwen3.7-max,110,0,110,0.493410
model,qwen/qwen3.7-plus,104,6,104,0.497511
model,xiaomi/mimo-v2.5-pro,110,0,110,0.293533
family,claude,110,0,110,0.347482
family,deepseek,103,7,103,0.392025
family,google,110,0,110,0.084513
family,inception,71,39,71,0.403066
family,inclusionai,110,0,110,0.310354
family,kwaipilot,110,0,110,0.353410
family,minimax,484,66,484,0.347354
family,openai,360,190,360,0.252038
family,prime-intellect,77,33,77,0.416673
family,qwen,759,11,759,0.466936
family,xiaomi,110,0,110,0.293533
