scope,id,count_done,count_failed,count_scored,mean_score
model,anthropic/claude-fable-5,3,0,3,0.921250
model,deepseek/deepseek-v4-pro,3,0,3,0.879464
model,google/gemini-3.5-flash,3,0,3,0.768321
model,inception/mercury-2,3,0,3,0.942917
model,inclusionai/ling-2.6-flash,3,0,3,0.882917
model,kwaipilot/kat-coder-pro-v2,3,0,3,0.887917
model,minimax/minimax-m2,3,0,3,0.843598
model,minimax/minimax-m2.1,3,0,3,0.562311
model,minimax/minimax-m2.5,3,0,3,0.843598
model,minimax/minimax-m2.7,3,0,3,0.894432
model,minimax/minimax-m3,3,0,3,0.843598
model,openai/gpt-5.2-codex,3,0,3,0.842765
model,openai/gpt-5.3-codex,3,0,3,0.906917
model,openai/gpt-5.4-pro,3,0,3,0.811765
model,openai/gpt-5.5,3,0,3,0.874951
model,openai/gpt-5.5-pro,3,0,3,0.880644
model,prime-intellect/intellect-3,3,0,3,0.851250
model,qwen/qwen3.5-122b-a10b,3,0,3,0.921964
model,qwen/qwen3.5-27b,3,0,3,0.892679
model,qwen/qwen3.5-plus-20260420,3,0,3,0.867068
model,qwen/qwen3.6-flash,3,0,3,0.859432
model,qwen/qwen3.6-max-preview,3,0,3,0.869432
model,qwen/qwen3.7-max,3,0,3,0.813598
model,qwen/qwen3.7-plus,3,0,3,0.871250
model,xiaomi/mimo-v2.5-pro,3,0,3,0.927083
family,claude,3,0,3,0.921250
family,deepseek,3,0,3,0.879464
family,google,3,0,3,0.768321
family,inception,3,0,3,0.942917
family,inclusionai,3,0,3,0.882917
family,kwaipilot,3,0,3,0.887917
family,minimax,15,0,15,0.797508
family,openai,15,0,15,0.863408
family,prime-intellect,3,0,3,0.851250
family,qwen,21,0,21,0.870775
family,xiaomi,3,0,3,0.927083
