scope,id,count_done,count_failed,count_scored,mean_score
model,anthropic/claude-fable-5,72,9,72,0.847222
model,deepseek/deepseek-v4-pro,81,0,81,0.469136
model,google/gemini-3.5-flash,81,0,81,0.728395
model,inception/mercury-2,76,5,76,0.815789
model,inclusionai/ling-2.6-flash,81,0,81,0.209877
model,kwaipilot/kat-coder-pro-v2,81,0,81,0.246914
model,minimax/minimax-m2,81,0,81,0.555556
model,minimax/minimax-m2.1,81,0,81,0.419753
model,minimax/minimax-m2.5,81,0,81,0.580247
model,minimax/minimax-m2.7,81,0,81,0.469136
model,minimax/minimax-m3,81,0,81,0.740741
model,openai/gpt-5.2-codex,81,0,81,0.197531
model,openai/gpt-5.3-codex,81,0,81,0.814815
model,openai/gpt-5.4-pro,78,3,78,0.833333
model,openai/gpt-5.5,81,0,81,0.802469
model,openai/gpt-5.5-pro,74,7,74,0.864865
model,prime-intellect/intellect-3,81,0,81,0.666667
model,qwen/qwen3.5-122b-a10b,80,1,80,0.637500
model,qwen/qwen3.5-27b,81,0,81,0.765432
model,qwen/qwen3.5-plus-20260420,81,0,81,0.777778
model,qwen/qwen3.6-flash,81,0,81,0.777778
model,qwen/qwen3.6-max-preview,81,0,81,0.790123
model,qwen/qwen3.7-max,81,0,81,0.802469
model,qwen/qwen3.7-plus,81,0,81,0.839506
model,xiaomi/mimo-v2.5-pro,81,0,81,0.283951
family,claude,72,9,72,0.847222
family,deepseek,81,0,81,0.469136
family,google,81,0,81,0.728395
family,inception,76,5,76,0.815789
family,inclusionai,81,0,81,0.209877
family,kwaipilot,81,0,81,0.246914
family,minimax,405,0,405,0.553086
family,openai,395,10,395,0.698734
family,prime-intellect,81,0,81,0.666667
family,qwen,566,1,566,0.770318
family,xiaomi,81,0,81,0.283951
