question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama33_70b_failures,{aliases[m]}_error,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_maverick_failures,{aliases[m]}_error,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama4_scout_failures,{aliases[m]}_error,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms,llama31_8b_failures,{aliases[m]}_error
AGI-026,11,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.545,4228,0,0.636,4156,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_slippage_pct|agi_validation_failed:self_check,,0,0.636,4374,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:self_check,,1,0.727,2772,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,,0,0.182,5608,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:venue_fills.Internalizer|agi_validation_failed:venue_fills.Dark_RFQ|agi_validation_failed:venue_fills.CEX_Y|agi_validation_failed:venue_fills.hidden_public|agi_validation_failed:expected_slippage_pct|agi_validation_failed:self_check,
AGI-030,11,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.500,4847,0,0.222,9568,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd|agi_validation_failed:liquidity_48h_usd|agi_validation_failed:allocation_usd.Ethena_USDe|agi_validation_failed:allocation_usd.GMX_GLP,,1,0.778,1524,agi_validation_failed:intent|agi_validation_failed:chosen_strategy,,0,0.667,4192,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_90d_profit_usd,,0,0.333,4105,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_90d_profit_usd|agi_validation_failed:allocation_usd.Curve_3pool|agi_validation_failed:allocation_usd.Ethena_USDe|agi_validation_failed:allocation_usd.GMX_GLP,
AGI-063,11,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.477,2952,1,0.727,3597,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,,0,0.545,2657,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_asset_received|agi_validation_failed:effective_price|agi_validation_failed:self_check,,0,0.091,2130,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|missing_field|missing_field|missing_field|missing_field|missing_field|agi_validation_failed:expected_asset_received|missing_field|agi_validation_failed:self_check,,0,0.545,3423,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_asset_received|agi_validation_failed:effective_price|agi_validation_failed:self_check,
AGI-064,11,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.523,4948,1,0.727,9289,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,,0,0.455,5449,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_allocation_usd.Coinbase|agi_validation_failed:venue_allocation_usd.Curve_BTC|agi_validation_failed:venue_allocation_usd.OTC_Circle|agi_validation_failed:self_check,,0,0.273,3149,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|missing_field|missing_field|agi_validation_failed:venue_allocation_usd.OTC_Circle|agi_validation_failed:expected_asset_received|agi_validation_failed:effective_price|agi_validation_failed:self_check,,0,0.636,1904,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_asset_received|agi_validation_failed:self_check,
AGI-065,11,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.500,4326,1,0.727,8277,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,,0,0.636,3009,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_asset_received|agi_validation_failed:self_check,,0,0.364,3479,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_allocation_usd.Uniswap_Arbitrum|agi_validation_failed:venue_allocation_usd.Coinbase|agi_validation_failed:expected_asset_received|agi_validation_failed:effective_price|agi_validation_failed:self_check,,0,0.273,2537,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_allocation_usd.Binance|agi_validation_failed:venue_allocation_usd.Uniswap_Arbitrum|agi_validation_failed:venue_allocation_usd.Coinbase|agi_validation_failed:expected_asset_received|agi_validation_failed:effective_price|agi_validation_failed:self_check,
AGI-088,11,2,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,0.591,3863,0,0.636,5537,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_slippage_pct|agi_validation_failed:self_check,,1,0.727,1961,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,,1,0.727,3616,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,,0,0.273,4339,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:venue_fills.Internalizer|agi_validation_failed:venue_fills.Dark_RFQ|agi_validation_failed:venue_fills.CEX_Y|agi_validation_failed:venue_fills.hidden_public|agi_validation_failed:expected_slippage_pct|agi_validation_failed:self_check,
L1-003,1,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-scout,0.785,2950,1,0.850,1520,,,1,0.950,4545,,,0,0.637,3561,,,1,0.704,2173,,
L2-001,2,2,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,0.770,2500,0,0.690,4350,,,1,0.850,1660,,,1,0.850,3079,,,0,0.690,912,,
L2-003,2,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.764,2143,1,0.826,2513,,,1,0.920,2312,,,0,0.681,864,,,0,0.630,2881,,
L3-001,3,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.558,4775,0,0.663,10770,,,0,0.443,2776,,,1,0.765,2317,,,0,0.364,3237,,
L3-003,3,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.772,4776,1,0.749,6994,,,1,0.814,2830,,,1,0.966,6066,,,0,0.559,3214,,
L4-002,4,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.408,4244,1,0.804,2647,,,1,0.830,1402,,,0,0.000,8983,correlation_invalid_order_type,,0,0.000,3945,correlation_missing_assets,
L4-004,4,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.230,3591,0,0.000,5449,stress_test_invalid_size,,1,0.920,2384,,,0,0.000,2988,stress_test_invalid_size,,0,0.000,3541,stress_test_invalid_order_type,
L6-003,6,2,meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout,0.631,4261,0,0.688,9656,,,1,0.775,2902,,,0,0.300,2290,mismatch_fieldname|mismatch_fieldname,,1,0.760,2197,,
L6-004,6,2,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,0.743,2561,0,0.609,3668,mismatch_fieldname,,1,0.867,1951,,,1,0.863,3027,,,0,0.633,1597,,
L6-005,6,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick,0.606,2047,1,0.770,1672,,,0,0.000,1330,mismatch_fieldname|twap_missing_duration_autofail,,1,0.870,3463,,,1,0.784,1724,,
L7-002,7,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.555,2518,1,0.830,2916,,,1,0.830,2191,,,0,0.276,620,,,0,0.284,4344,,
L7-004,7,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.229,4621,0,0.000,6183,portfolio_efficiency_inconsistent_blended_apy|portfolio_efficiency_inconsistent_weighted_risk|portfolio_efficiency_inconsistent_excess_return|portfolio_efficiency_inconsistent_risk_ratio|portfolio_efficiency_inconsistent_total_yield,,1,0.917,2429,,,0,0.000,3762,portfolio_efficiency_inconsistent_weighted_risk|portfolio_efficiency_inconsistent_risk_ratio,,0,0.000,6110,portfolio_efficiency_inconsistent_blended_apy|portfolio_efficiency_inconsistent_weighted_risk|portfolio_efficiency_inconsistent_excess_return|portfolio_efficiency_inconsistent_risk_ratio|portfolio_efficiency_inconsistent_total_yield,
L7-005,7,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.885,9590,1,0.984,14500,,,1,0.984,3390,,,1,0.981,7259,,,0,0.593,13212,,
L8-004,8,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.607,5236,1,1.000,9776,,,0,0.651,2274,,,0,0.651,6787,,,0,0.126,2108,mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname,
L8-006,8,2,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,0.612,3472,0,0.279,5008,mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname,,0,0.231,1664,mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname,,1,1.000,4079,,,1,0.940,3137,,
L8-007,8,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.415,3474,0,0.339,5687,,,0,0.280,1709,,,0,0.320,4387,,,1,0.720,2113,,
L8-008,8,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.178,3753,0,0.000,2427,mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|l8_008_missing_execution_plan,,0,0.000,2963,mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|l8_008_missing_execution_plan,,1,0.713,6553,l8_008_total_notional_mismatch,,0,0.000,3069,mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|mismatch_fieldname|l8_008_missing_execution_plan,
L8-009,8,3,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct,0.864,4637,0,0.457,4641,,,1,1.000,4781,,,1,1.000,4960,,,1,1.000,4165,,
L8-010,8,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.746,3857,1,0.826,7492,,,1,0.732,1792,,,1,0.771,3421,,,0,0.655,2722,,
L9-009,9,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2424,1,1.000,2719,,,0,0.000,3017,l9_expected_value_mismatch,,0,0.000,2071,l9_expected_value_mismatch,,0,0.000,1890,l9_expected_value_mismatch,
L9-016,9,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2535,1,1.000,1821,,,0,0.000,739,l9_expected_value_mismatch,,0,0.000,4481,l9_expected_value_mismatch,,0,0.000,3098,l9_expected_value_mismatch,
L9-024,9,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,1467,0,0.000,2091,l9_expected_value_mismatch,,1,1.000,2015,,,0,0.000,468,l9_expected_value_mismatch,,0,0.000,1293,l9_expected_value_mismatch,
L9-028,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1438,1,1.000,2248,,,1,1.000,1349,,,1,1.000,661,,,0,0.000,1494,l9_expected_value_mismatch,
L9-032,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1352,1,1.000,1472,,,1,1.000,1469,,,1,1.000,733,,,0,0.000,1732,l9_expected_value_mismatch,
L9-036,9,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,1368,1,1.000,2500,,,1,1.000,660,,,1,1.000,1441,,,0,0.000,871,l9_expected_value_mismatch,
