question_id,model,pass,score,confidence,pass_models_for_question,pass_count_for_question,failure_reasons,raw_excerpt
AGI-030,meta-llama/llama-4-maverick,1,0.778,1.00,meta-llama/llama-4-maverick,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy,"{""intent"": ""allocate"", ""chosen_strategy"": ""diversified liquid venues"", ""allocation_usd"": {""Aave_USDC"": 20000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 20000, ""GMX_GLP"": 30000}, ""expected_net_apy_pct"": 8.69, ""expected_90d_profit_usd"": 2141.92, ""liquidity_48h_usd"": 50000, ""reasoning"": ""Allocated to maximize liquidity and APY within constraints""}"
AGI-026,meta-llama/llama-4-scout,1,0.727,1.00,meta-llama/llama-4-scout,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,"{ ""intent"": ""buy"", ""chosen_strategy"": ""sequential execution"", ""execution_sequence"": [""Internalizer"", ""Dark_RFQ"", ""CEX_Y"", ""hidden_public""], ""venue_fills"": { ""Internalizer"": 42000, ""Dark_RFQ"": 35000, ""CEX_Y"": 30000, ""hidden_public"": 13000 }, ""hidden_public_qty"": 13000, ""expected_avg_price"": 4.925, ""expected_slippage_pct"": 0.41, ""self_check"": true, ""reasoning"": ""sequential fills to avoid copy-trading bot trigger"" }"
AGI-063,meta-llama/llama-3.3-70b-instruct,1,0.727,1.00,meta-llama/llama-3.3-70b-instruct,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,"{ ""intent"": ""convert USDC to ETH"", ""chosen_strategy"": ""multi-venue execution"", ""venue_allocation_usd"": { ""Kraken"": 500000, ""Uniswap_Arbitrum"": 450000, ""Curve_ETH"": 400000, ""Binance"": 350000, ""Velodrome_Optimism"": 300000 }, ""largest_visible_clip_usd"": 500000, ""expected_asset_received"": 666.27, ""effective_price"": 3003.92, ""self_check"": true, ""reasoning"": ""allocated to venues based on usable clip and quoted price to minimize visible clips and optimize effective price"" }"
AGI-064,meta-llama/llama-3.3-70b-instruct,1,0.727,0.80,meta-llama/llama-3.3-70b-instruct,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,"```json { ""intent"": ""buy"", ""order_type"": ""market"", ""asset"": ""BTC"", ""size"": ""33.33"", ""unit"": ""btc"", ""venue"": ""multiple"", ""risk_controls"": { ""slippage_tolerance"": ""1%"" }, ""follow_up"": ""confirm fill"", ""reasoning"": ""Optimized route allocation across venues to minimize slippage and maximize fill rate"", ""chosen_strategy"": ""multi-venue execution"", ""venue_allocation_usd"": { ""Binance"": 600000, ""Kraken"": 500000, ""Coinbase"": 300000, ""Curve_BTC"": 300000, ""OTC_Circle"": 300000 }, ""largest_visible_clip_usd"": 600000, ""expected_asset_received"": ""33.33"", ""effective_price"": 59990.91, ""self_check"": true } ```"
AGI-065,meta-llama/llama-3.3-70b-instruct,1,0.727,0.80,meta-llama/llama-3.3-70b-instruct,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,"```json { ""intent"": ""convert"", ""order_type"": ""multi-venue"", ""asset"": ""SOL"", ""size"": 2000000, ""unit"": ""usd"", ""venue"": ""multi"", ""risk_controls"": { ""slippage_tolerance"": ""1%"", ""max_gas"": ""auto"" }, ""follow_up"": ""monitor fill"", ""reasoning"": ""multi-venue execution to minimize slippage"", ""requires_follow_up"": true, ""follow_up_description"": ""verify fill and adjust strategy as needed"", ""chosen_strategy"": ""multi-venue acquisition"", ""venue_allocation_usd"": { ""Binance"": 550000, ""Jupiter_Solana"": 450000, ""Uniswap_Arbitrum"": 350000, ""OTC_Circle"": 350000, ""Coinbase"": 300000 }, ""largest_visible_clip_usd"": 550000, ""expected_asset_received"": 13321."
AGI-088,meta-llama/llama-4-maverick,1,0.727,1.00,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,2,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,"{""intent"": ""buy"", ""order_type"": ""custom"", ""asset"": ""KAP"", ""size"": ""120000"", ""venue"": ""multiple"", ""risk_controls"": {}, ""chosen_strategy"": ""multi-venue"", ""execution_sequence"": [""Internalizer"", ""Dark_RFQ"", ""CEX_Y"", ""hidden_public""], ""venue_fills"": {""Internalizer"": 42000, ""Dark_RFQ"": 35000, ""CEX_Y"": 30000, ""hidden_public"": 13000}, ""hidden_public_qty"": 13000, ""expected_avg_price"": 4.928, ""expected_slippage_pct"": 0.3669421486741334, ""self_check"": true, ""reasoning"": ""Optimized multi-venue strategy to minimize footprint and avoid copy-bot trigger""}"
AGI-088,meta-llama/llama-4-scout,1,0.727,1.00,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,2,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:self_check,"{ ""intent"": ""buy"", ""chosen_strategy"": ""sequential_private_fills"", ""execution_sequence"": [""Internalizer"", ""Dark_RFQ"", ""CEX_Y"", ""hidden_public""], ""venue_fills"": { ""Internalizer"": 42000, ""Dark_RFQ"": 35000, ""CEX_Y"": 30000, ""hidden_public"": 13000 }, ""hidden_public_qty"": 13000, ""expected_avg_price"": 4.927, ""expected_slippage_pct"": 0.32, ""self_check"": true, ""reasoning"": ""sequential fills to avoid copy-trading bot trigger"" }"
AGI-062,meta-llama/llama-3.3-70b-instruct,0,0.692,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:pnl_30d_usd|agi_validation_failed:self_check,"{ ""intent"": ""build delta-neutral ladder"", ""chosen_strategy"": ""diversified short allocation"", ""perp_short_allocation_usd"": { ""Binance"": 180000, ""OKX"": 100000, ""Bybit"": 90000, ""Hyperliquid"": 80000, ""dYdX"": 50000 }, ""leverage"": 1, ""apr_pct"": 24.4, ""pnl_30d_usd"": 30330, ""cascade_buffer_pct"": 20, ""survives_cascade"": true, ""self_check"": true, ""reasoning"": ""Diversified allocation across venues to maximize resilient capacity, with weighted APR calculation and 30-day PnL projection, ensuring a positive cascade buffer and delta-neutral positioning."" }"
AGI-030,meta-llama/llama-4-scout,0,0.667,1.00,meta-llama/llama-4-maverick,1,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_90d_profit_usd,"{ ""intent"": ""allocate"", ""chosen_strategy"": ""diversified_allocation"", ""allocation_usd"": { ""Aave_USDC"": 20000, ""Curve_3pool"": 30000, ""Ethena_USDe"": 20000, ""GMX_GLP"": 30000 }, ""expected_net_apy_pct"": 8.88, ""expected_90d_profit_usd"": 19800, ""liquidity_48h_usd"": 50000, ""reasoning"": ""Maximize risk-adjusted returns by allocating across 4 liquid venues with highest net APY, ensuring 50% of capital liquid within 48h."" }"
AGI-031,meta-llama/llama-4-maverick,0,0.667,1.00,,0,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:liquidity_48h_usd,"{""intent"": ""allocate"", ""chosen_strategy"": ""diversified_restaking"", ""allocation_usd"": {""Aave_USDC"": 25000, ""Symbiotic_AVS"": 20000, ""EigenLayer_AVS"": 25000, ""Pendle_PT"": 30000}, ""expected_net_apy_pct"": 7.89, ""expected_90d_profit_usd"": 1945.07, ""liquidity_48h_usd"": 45000, ""reasoning"": ""Optimized allocation across venues with liquidity and APY considerations""}"
