L1-001 (L1, score=0.869, durationMs=5369)
L1-002 (L1, score=1.000, durationMs=4698)
L1-003 (L1, score=0.875, durationMs=3035)
L2-002 (L2, score=0.926, durationMs=1027)
L2-003 (L2, score=0.976, durationMs=4056)
L3-003 (L3, score=0.795, durationMs=11222)
L4-001 (L4, score=0.780, durationMs=7735)
L4-002 (L4, score=0.704, durationMs=3713)
L5-004 (L5, score=1.000, durationMs=2292)
L5-005 (L5, score=0.947, durationMs=3335)
L6-002 (L6, score=0.895, durationMs=11550)
L6-003 (L6, score=0.775, durationMs=3544)
L6-005 (L6, score=0.783, durationMs=2754)
L7-002 (L7, score=0.830, durationMs=3800)
L7-005 (L7, score=0.909, durationMs=18319)
L8-003 (L8, score=0.807, durationMs=7221)
L8-004 (L8, score=1.000, durationMs=45094)
L8-005 (L8, score=1.000, durationMs=4598)
L8-008 (L8, score=0.713, durationMs=59212)
L8-010 (L8, score=0.826, durationMs=18418)
L9-009 (L9, score=1.000, durationMs=1605)
L9-011 (L9, score=1.000, durationMs=10064)
L9-012 (L9, score=1.000, durationMs=6447)
L9-016 (L9, score=1.000, durationMs=2374)
L9-020 (L9, score=1.000, durationMs=1607)
L9-028 (L9, score=1.000, durationMs=3344)
L9-032 (L9, score=1.000, durationMs=2027)
L9-036 (L9, score=1.000, durationMs=3387)
L9-040 (L9, score=1.000, durationMs=2652)
L9-044 (L9, score=1.000, durationMs=1523)
L9-048 (L9, score=1.000, durationMs=6692)
L9-049 (L9, score=1.000, durationMs=24578)
L9-051 (L9, score=1.000, durationMs=1452)
L9-052 (L9, score=1.000, durationMs=2445)
L9-060 (L9, score=1.000, durationMs=1263)
L9-068 (L9, score=1.000, durationMs=2071)
L9-076 (L9, score=1.000, durationMs=1966)
L10-008 (L10, score=1.000, durationMs=1413)
L10-012 (L10, score=1.000, durationMs=2392)
L10-016 (L10, score=1.000, durationMs=2393)
L10-021 (L10, score=1.000, durationMs=5348)
L10-026 (L10, score=1.000, durationMs=2571)
L10-027 (L10, score=1.000, durationMs=2682)
L10-028 (L10, score=0.700, durationMs=1610)
L10-032 (L10, score=0.700, durationMs=3936)
L10-037 (L10, score=0.700, durationMs=3066)
L10-040 (L10, score=1.000, durationMs=2718)
L10-045 (L10, score=1.000, durationMs=3577)
L10-046 (L10, score=1.000, durationMs=6688)
L10-059 (L10, score=1.000, durationMs=1847)
L10-063 (L10, score=0.700, durationMs=1662)
AGI-004 (L11, score=0.731, durationMs=3300)
AGI-006 (L11, score=0.824, durationMs=5189)
AGI-063 (L11, score=0.727, durationMs=4108)
AGI-065 (L11, score=0.727, durationMs=11781)
