scope,id,count_done,count_failed,count_scored,mean_score
model,anthropic/claude-fable-5,5,0,5,0.681682
model,deepseek/deepseek-v4-pro,5,0,5,0.455294
model,google/gemini-3.5-flash,5,0,5,0.448857
model,inception/mercury-2,5,0,5,0.484000
model,inclusionai/ling-2.6-flash,5,0,5,0.619803
model,kwaipilot/kat-coder-pro-v2,5,0,5,0.641000
model,minimax/minimax-m2,5,0,5,0.641000
model,minimax/minimax-m2.1,5,0,5,0.324500
model,minimax/minimax-m2.5,5,0,5,0.638500
model,minimax/minimax-m2.7,5,0,5,0.629800
model,minimax/minimax-m3,5,0,5,0.642136
model,openai/gpt-5.2-codex,5,0,5,0.456500
model,openai/gpt-5.3-codex,5,0,5,0.501267
model,openai/gpt-5.4-pro,5,0,5,0.497903
model,openai/gpt-5.5,5,0,5,0.611448
model,openai/gpt-5.5-pro,5,0,5,0.577169
model,prime-intellect/intellect-3,5,0,5,0.564500
model,qwen/qwen3.5-122b-a10b,5,0,5,0.647048
model,qwen/qwen3.5-27b,5,0,5,0.604929
model,qwen/qwen3.5-plus-20260420,5,0,5,0.445929
model,qwen/qwen3.6-flash,5,0,5,0.634500
model,qwen/qwen3.6-max-preview,5,0,5,0.548929
model,qwen/qwen3.7-max,5,0,5,0.625000
model,qwen/qwen3.7-plus,5,0,5,0.602000
model,xiaomi/mimo-v2.5-pro,5,0,5,0.445500
family,claude,5,0,5,0.681682
family,deepseek,5,0,5,0.455294
family,google,5,0,5,0.448857
family,inception,5,0,5,0.484000
family,inclusionai,5,0,5,0.619803
family,kwaipilot,5,0,5,0.641000
family,minimax,25,0,25,0.575187
family,openai,25,0,25,0.528857
family,prime-intellect,5,0,5,0.564500
family,qwen,35,0,35,0.586905
family,xiaomi,5,0,5,0.445500
