scope,id,count_done,count_failed,count_scored,mean_score
model,anthropic/claude-fable-5,4,0,4,0.750184
model,deepseek/deepseek-v4-pro,4,0,4,0.787684
model,google/gemini-3.5-flash,4,0,4,0.732684
model,inception/mercury-2,4,0,4,0.783646
model,inclusionai/ling-2.6-flash,4,0,4,0.755833
model,kwaipilot/kat-coder-pro-v2,4,0,4,0.750184
model,minimax/minimax-m2,4,0,4,0.792684
model,minimax/minimax-m2.1,4,0,4,0.595184
model,minimax/minimax-m2.5,4,0,4,0.787684
model,minimax/minimax-m2.7,4,0,4,0.673646
model,minimax/minimax-m3,4,0,4,0.797684
model,openai/gpt-5.2-codex,4,0,4,0.737684
model,openai/gpt-5.3-codex,4,0,4,0.767059
model,openai/gpt-5.4-pro,4,0,4,0.772997
model,openai/gpt-5.5,4,0,4,0.763397
model,openai/gpt-5.5-pro,4,0,4,0.760414
model,prime-intellect/intellect-3,4,0,4,0.750184
model,qwen/qwen3.5-122b-a10b,4,0,4,0.775184
model,qwen/qwen3.5-27b,4,0,4,0.825184
model,qwen/qwen3.5-plus-20260420,4,0,4,0.820184
model,qwen/qwen3.6-flash,4,0,4,0.702684
model,qwen/qwen3.6-max-preview,4,0,4,0.825184
model,qwen/qwen3.7-max,4,0,4,0.710184
model,qwen/qwen3.7-plus,4,0,4,0.745184
model,xiaomi/mimo-v2.5-pro,4,0,4,0.825184
family,claude,4,0,4,0.750184
family,deepseek,4,0,4,0.787684
family,google,4,0,4,0.732684
family,inception,4,0,4,0.783646
family,inclusionai,4,0,4,0.755833
family,kwaipilot,4,0,4,0.750184
family,minimax,20,0,20,0.729377
family,openai,20,0,20,0.760310
family,prime-intellect,4,0,4,0.750184
family,qwen,28,0,28,0.771970
family,xiaomi,4,0,4,0.825184
