question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama33_70b_failures,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_maverick_failures,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama4_scout_failures,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms,llama31_8b_failures
L1-002,1,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.935,3282,1,1.000,4698,,1,0.904,4666,,1,0.940,1881,,1,0.897,1881,
L2-002,2,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.855,3248,1,0.926,1027,,1,0.776,5501,,1,0.926,4765,,1,0.792,1700,
L5-004,5,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.902,3250,1,1.000,2292,,1,0.873,4884,,1,0.879,2174,,1,0.858,3649,
L5-005,5,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.895,2829,1,0.947,3335,,1,0.934,1391,,1,0.853,2820,,1,0.847,3771,
L6-002,6,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.831,3964,1,0.895,11550,,1,0.895,2147,,1,0.760,706,,1,0.775,1453,
L6-005,6,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.804,2670,1,0.783,2754,,1,0.779,2100,,1,0.870,3154,,1,0.784,2670,
L7-005,7,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.909,13041,1,0.909,18319,,1,0.982,14257,,1,0.893,10309,,1,0.854,9279,
L8-003,8,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.807,7067,1,0.807,7221,,1,0.807,8653,,1,0.807,8905,missing_field|missing_field,1,0.807,3487,
L8-005,8,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,4001,1,1.000,4598,,1,1.000,4743,,1,1.000,3003,,1,1.000,3661,
L9-011,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,4674,1,1.000,10064,,1,1.000,2386,,1,1.000,2787,,1,1.000,3458,
L9-012,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,3501,1,1.000,6447,,1,1.000,2072,,1,1.000,4692,,1,1.000,793,
L9-028,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,2400,1,1.000,3344,,1,1.000,2230,,1,1.000,2309,,1,1.000,1717,
L9-068,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,2627,1,1.000,2071,,1,1.000,989,,1,1.000,3651,,1,1.000,3798,
L9-076,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,3453,1,1.000,1966,,1,1.000,836,,1,1.000,6900,,1,1.000,4111,
L10-063,10,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.775,1576,1,0.700,1662,,1,0.700,2817,,1,1.000,913,,1,0.700,912,
