question_id,level,rubric_id,prompt,pass_count,avg_score,passed_models,failed_models
L3-003,L3,cross_chain_bridge,Bridge 2 ETH from Ethereum to Polygon and swap for MATIC,1,0.827,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L7-002,L7,lending_borrow,"Unwind my underwater position: 5 ETH collateral, 7,000 USDC borrowed",1,0.415,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L8-004,L8,restaking_optimization,"Optimal Re-staking Strategy with Loan Arbitrage You have 100 ETH currently staked via Lido (earning 4.2% APR as stETH). You're considering re-staking strategies to boost yield. In 8 days, you plan to use this position as collateral to borrow 50 ETH at 5.5% APR for a profitable farming opportunity. Analyze these three options: **Option A: EigenLayer AVS Restaking** - Additional APR: 2.8% (from AVS rewards) - Slashing risk: 3% of staked amount (annual probability) - Minimum lock period: 7 days - Current TVL: $8.2B (highly liquid) - Accepts stETH as collateral: Yes **Option B: Symbiotic Protocol Restaking** - Additional APR: 4.1% (from operator fees) - Slashing risk: 5% of staked amount (annual probability) - Minimum lock period: 14 days - Current TVL: $890M (lower liquidity) - Accepts stETH as collateral: Yes **Option C: Maintain Lido stETH Only** - Additional APR: 0% (baseline) - Slashing risk: 0% (no additional risk) - Minimum lock period: 0 days - Liquid staking token (instant liquidity) - Accepts stETH as collateral: Yes **Constraints** 1. Position must be available as collateral within 8 days for the loan (hard requirement) 2. Target minimum net APR after borrowing costs: 1.0% 3. Maximum acceptable slashing risk: 4% of principal **Task** Determine which strategy maximizes net return while satisfying all constraints. Consider the arbitrage spread between staking yield and borrow costs. Respond with JSON including core execution fields plus decision rationale and detailed factors. Schema hint: Provide top-level keys intent, order_type, asset, size, venue, venue_name, rationale, decision_factors along with flattened numeric mirrors (total_staking_apr, borrow_rate, effective_borrow_cost_on_portfolio, net_apr_after_borrow, meets_net_apr_target, slashing_risk_pct, within_risk_tolerance, liquidity_days, meets_collateral_timing, option_c_net_apr_comparison, option_a_outperformance).",1,0.560,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L8-006,L8,fixed_yield_allocation,"You have 100,000 USDC to deploy into USDe yield strategies. **Current market conditions:** Base Rates: - USDe staking APY: 8.5% - Aave USDC supply APY: 4.2% - Aave USDe borrow APY: 6.8% Pendle Market (PT-USDe expiring in 90 days): - Implied APY: 12.3% - Liquidity depth: $45M - Fixed yield lock until maturity Loop Parameters: - Max safe leverage on Aave: 3x (LTV 75%, liquidation threshold 80%) - Gas costs per loop iteration: ~$8 - Pendle PT purchase slippage on 100K: 0.15% **Strategy Options:** A) Simple Stake: Convert to USDe, stake directly (8.5% APY). B) Leveraged Loop: 3x loop USDe on Aave, stake multiplied amount ((3 × 8.5%) − (2 × 6.8%) = 11.9% APY), risk: liquidation if USDe depegs >2%. C) Pendle PT: Convert to USDe, buy PT-USDe at 12.3% fixed for 90 days (capital locked). D) Hybrid: 2x loop on Aave (50K) + Pendle PT (50K) → 11.25% weighted APY, medium diversification. **Constraints:** medium risk tolerance (avoid >3% depeg exposure), 90-day horizon, priority is maximize APY while staying under 3x leverage. Which strategy should you execute? Return JSON following the schema hint.",1,0.650,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L8-008,L8,risk_parity_execution,"You're executing a risk-parity rebalance (buy side only) across BTC, ETH, GLD, and TLT. Calculate the optimal execution strategy. Required trades: - Buy 0.5 BTC ($22,500) - Buy 8 ETH ($22,400) - Buy 1,200 GLD ($222,000) - Buy 2,400 TLT ($228,000) Venue options: - Coinbase: Crypto only (BTC/ETH), 0.6% fee, instant execution - Interactive Brokers: All assets including crypto, 0.1% fee, T+2 settlement - You may use one venue or split across both Constraints: - Must execute all 4 legs within same trading day - Total fees must not exceed $2,000 - Minimize total fees while executing all positions Assumptions: Fees are charged as a percentage of notional with no minimums. Ignore spreads, slippage, and market impact. Output your execution plan with: 1. Venue for each asset 2. Fee calculation per trade 3. Total fees 4. Total execution cost (notional + fees) 5. Reasoning for strategy choice",1,0.371,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L9-001,L9,l9-L9-001,"Design a delta-neutral funding-rate arbitrage between Hyperliquid HYPE-PERP ($28.50, -0.017% per 8 hours) and spot HYPE ($28.20 on Base). You have $500 000 USDC, 5× leverage, hold the position for 1 year, rebalance entry/exit once, < 0.3% slippage, Base gas $0.02 / tx. Funding rate -0.017%/8h is the rate paid by longs to shorts (Hyperliquid convention: F<0 means longs receive). For this scenario, the short-perp leg of this delta-neutral structure earns |F|. Compute expected_value as funding-only APR on unlevered notional: abs(funding_rate_per_8h) × 3 × 365 × 100. Do not multiply by 5× leverage, and exclude unquantified bridge, slippage-cap, liquidation-buffer, and spot/perp basis PnL from expected_value; gas is de minimis at the APR precision used.",1,0.500,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L9-003,L9,l9-L9-003,"Swap $2 M USDC→SOL across chains (ETH→SOL). Compare traditional route (USDC→WETH→bridge→SOL; 1.2 % aggregate route cost) vs Across intent-based solver (0.15 % aggregate solver cost). Assume SOL/USD reference price = $185.00 for both routes. Both costs apply to the full input notional, and no extra gas, bridge failure, MEV, slippage, or solver fee is added beyond the quoted percentages. Compute net SOL saved by Across versus the traditional route as USD cost delta converted to SOL.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L9-010,L9,l9-L9-010,"Flash loan 10 M USDC (0.05 % fee) → pump price +4 % → liquidations $850 k profit. Costs = $85 k total (loan + gas + slippage + MEV). 30 % frontrun risk. If frontrun (30 %), attacker also incurs $25 K MEV protection costs (total loss $110 K). Compute expected value.",1,0.500,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
L9-020,L9,l9-L9-020,"Refuse-to-trade decision, liquidation backrun during stale oracle window. Evaluate a $1,000,000 USDC opportunity across Uniswap/Aave/Compound, CEX hedge, bridge, oracle, solver, and MEV routes. Execute only if an option has net expected USD profit > 0 and all hard constraints pass: max slippage 0.40%, oracle age <= 60 seconds, settlement <= 12 minutes, and required capital <= $1,000,000. Option A Uniswap v3 ETH to Arb backrun: gross edge $14,200, fixed costs $4,100, slippage 0.52% of notional, expected risk 25.0% * $28,000, oracle age 45 seconds, settlement 9 minutes, required capital $900,000; Option B RFQ solver bridge: gross edge $26,000, fixed costs $5,200, slippage 0.15% of notional, expected risk 6.0% * $420,000, oracle age 38 seconds, settlement 18 minutes, required capital $950,000; Option C CEX hedge plus bridge unwind: gross edge $11,800, fixed costs $4,600, slippage 0.20% of notional, expected risk 3.0% * $300,000, oracle age 72 seconds, settlement 10 minutes, required capital $980,000. For each option, net EV = gross edge - fixed costs - slippage dollars - expected risk loss. Reject hard-constraint violations even if net EV is positive. Return no_action if no option is both positive-EV and feasible.",1,0.500,mistralai/mistral-small-2603,mistralai/mistral-medium-3-5
L9-024,L9,l9-L9-024,"Staking/restaking risk selection, high-yield but delay-capped restaking. Restake 150 stETH across EigenLayer/Symbiotic-style AVSs and pick exactly 3 eligible AVSs by highest risk-adjusted APR. Net score = headline yield - operator fee - slashing multiplier * expected slashing loss, all in APR percentage points. Eligibility constraints: net score >= 6%, slashing multiplier <= 3.5, withdrawal delay <= 8 days, oracle freshness <= 25 minutes, and capacity >= 150 stETH. Data: A1 yield 7.4%, operator fee 0.3%, slashing 1.4 x 0.5%, delay 3 days, oracle age 12 minutes, capacity 180 stETH; A2 yield 11.2%, operator fee 0.8%, slashing 2.5 x 0.9%, delay 7 days, oracle age 20 minutes, capacity 220 stETH; A3 yield 13.5%, operator fee 1%, slashing 4 x 1.1%, delay 5 days, oracle age 18 minutes, capacity 400 stETH; A4 yield 9.4%, operator fee 0.4%, slashing 1.8 x 0.6%, delay 6 days, oracle age 23 minutes, capacity 170 stETH; A5 yield 10.1%, operator fee 0.5%, slashing 2 x 0.7%, delay 4 days, oracle age 10 minutes, capacity 260 stETH. Return only the unordered set of selected AVS IDs; do not allocate weights, and reject any AVS that fails a hard constraint even if its yield is high.",1,0.500,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603
