scope,id,count_done,count_failed,count_scored,mean_score
model,anthropic/claude-fable-5,5,0,5,0.531823
model,deepseek/deepseek-v4-pro,5,0,5,0.140667
model,google/gemini-3.5-flash,5,0,5,0.372076
model,inception/mercury-2,5,0,5,0.490800
model,inclusionai/ling-2.6-flash,5,0,5,0.052717
model,kwaipilot/kat-coder-pro-v2,5,0,5,0.503658
model,minimax/minimax-m2,5,0,5,0.308789
model,minimax/minimax-m2.1,5,0,5,0.269927
model,minimax/minimax-m2.5,5,0,5,0.251236
model,minimax/minimax-m2.7,5,0,5,0.650089
model,minimax/minimax-m3,5,0,5,0.504200
model,openai/gpt-5.2-codex,5,0,5,0.148210
model,openai/gpt-5.3-codex,5,0,5,0.129467
model,openai/gpt-5.4-pro,5,0,5,0.559182
model,openai/gpt-5.5,5,0,5,0.474933
model,openai/gpt-5.5-pro,5,0,5,0.330047
model,prime-intellect/intellect-3,5,0,5,0.138701
model,qwen/qwen3.5-122b-a10b,5,0,5,0.074343
model,qwen/qwen3.5-27b,5,0,5,0.229727
model,qwen/qwen3.5-plus-20260420,5,0,5,0.189247
model,qwen/qwen3.6-flash,5,0,5,0.244353
model,qwen/qwen3.6-max-preview,5,0,5,0.631000
model,qwen/qwen3.7-max,5,0,5,0.291683
model,qwen/qwen3.7-plus,5,0,5,0.215680
model,xiaomi/mimo-v2.5-pro,5,0,5,0.230533
family,claude,5,0,5,0.531823
family,deepseek,5,0,5,0.140667
family,google,5,0,5,0.372076
family,inception,5,0,5,0.490800
family,inclusionai,5,0,5,0.052717
family,kwaipilot,5,0,5,0.503658
family,minimax,25,0,25,0.396848
family,openai,25,0,25,0.328368
family,prime-intellect,5,0,5,0.138701
family,qwen,35,0,35,0.268005
family,xiaomi,5,0,5,0.230533
